latitude,longitude,OBJECTID,Elemento,nu_processo_sei,Empreendedor,Empreendimento,Setor,Tipologia,Nº Processo SEI,Consultar Processo,sei_no_empreendimento,Licenças Emitidas (Tipo, Número, Emissão, Vencimento),st_area(shape),st_perimeter(shape),
null,null,5898,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.028527636297418536,0.6588227303309446,
null,null,5899,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.03844623220126355,0.7867372105381369,
null,null,5900,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.029651925459357777,0.6569036163669939,
null,null,5901,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.06966116671283758,1.0456810363591516,
null,null,5902,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.0910928016089193,1.1096984311536566,
null,null,5903,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.054626190951397216,0.9364709954601677,
null,null,5904,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.029651925459357777,0.6569036163669939,
null,null,5905,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.12989178887604355,1.6397249587014657,
null,null,5906,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.06194981079467633,0.9857729384196068,
null,null,5907,Área de outros métodos de aquisição,02001009840202439,PETRÓLEO BRASILEIRO S.A.,Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.009840/2024-39,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009840202439) Pesquisa Sísmica Marítima 4D Nodes e PRM na Bacia de Santos - Cluster 2,,0.11530734042910783,1.4426461516601985,
null,null,5908,Área de outros métodos de aquisição,02001010183202553,WESTERNGECO SERVIÇOS DE SÍSMICA LTDA.,Pesquisa Sísmica Marítima 3D Nodes na Bacia de Campos - Projeto Sapucaí OBNex,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.010183/2025-53,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001010183202553) Pesquisa Sísmica Marítima 3D Nodes na Bacia de Campos - Projeto Sapucaí OBNex,,1.0550684817440539,5.046745164603351,
null,null,5909,Área de outros métodos de aquisição,02001010183202553,WESTERNGECO SERVIÇOS DE SÍSMICA LTDA.,Pesquisa Sísmica Marítima 3D Nodes na Bacia de Campos - Projeto Sapucaí OBNex,Petróleo e Gás,Petróleo e Gás - Aquisição,02001.010183/2025-53,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001010183202553) Pesquisa Sísmica Marítima 3D Nodes na Bacia de Campos - Projeto Sapucaí OBNex,,2.0887138556359863,6.121098084222815,
