latitude,longitude,OBJECTID,Elemento,nu_processo_sei,Empreendedor,Empreendimento,Setor,Tipologia,Nº Processo SEI,Consultar Processo,sei_no_empreendimento,Licenças Emitidas (Tipo, Número, Emissão, Vencimento),st_length(shape),
null,null,14770,Ponte Rodoviária,02001029299202051,DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES,PONTE DE TRANSPOSIÇÃO DO DELTA DO RIO JACUÍ,Transporte,Estruturas Rodoviárias,02001.029299/2020-51,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001029299202051) PONTE DE TRANSPOSIÇÃO DO DELTA DO RIO JACUÍ,,0.13932820010659738,
null,null,14771,Ponte Rodoviária,02001004680202199,ESTADO DE RORAIMA,SERVIÇOS DE CONSTRUÇÃO DE PONTES DE CONCRETO MISTA NAS RODOVIAS RR-205 E RR-206, COM EXTENSÃO TOTAL ,Transporte,Estruturas Rodoviárias,02001.004680/2021-99,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001004680202199) SERVIÇOS DE CONSTRUÇÃO DE PONTES DE CONCRETO MISTA NAS RODOVIAS RR-205 E RR-206, COM EXTENSÃO TOTAL ,,0.00007687244725322573,
null,null,14772,Ponte Rodoviária,02001000806202237,ESTADO DE RORAIMA,Travessia do Passarão,Transporte,Estruturas Rodoviárias,02001.000806/2022-37,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001000806202237) Travessia do Passarão,,0.006317768031635805,
null,null,14773,Ponte Rodoviária,02001005147202225,FUNDAÇÃO DEPARTAMENTO DE ESTRADAS DE RODAGEM /RJ,Obras de Implantação da Rodovia Estadual RJ 162 (Trecho BR 101/Ponte do Baião),Transporte,Estruturas Rodoviárias,02001.005147/2022-25,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001005147202225) Obras de Implantação da Rodovia Estadual RJ 162 (Trecho BR 101/Ponte do Baião),,0.00034996829889339797,
null,null,14774,Ponte Rodoviária,02001007190202314,PREFEITURA MUNICIPAL DE PIÊN,Reforma de Ponte Divisa de Estados Santa Catarina/Paraná,Transporte,Estruturas Rodoviárias,02001.007190/2023-14,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001007190202314) Reforma de Ponte Divisa de Estados Santa Catarina/Paraná,,0.0002689212203063011,
null,null,14775,Ponte Rodoviária,02001007190202314,PREFEITURA MUNICIPAL DE PIÊN,Reforma de Ponte Divisa de Estados Santa Catarina/Paraná,Transporte,Estruturas Rodoviárias,02001.007190/2023-14,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001007190202314) Reforma de Ponte Divisa de Estados Santa Catarina/Paraná,,0.00027224564504960586,
null,null,14776,Ponte Rodoviária,02001007190202314,PREFEITURA MUNICIPAL DE PIÊN,Reforma de Ponte Divisa de Estados Santa Catarina/Paraná,Transporte,Estruturas Rodoviárias,02001.007190/2023-14,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001007190202314) Reforma de Ponte Divisa de Estados Santa Catarina/Paraná,,0.00023725500380325788,
null,null,14777,Ponte Rodoviária,02001000815202317,AGÊNCIA TOCANTINENSE DE TRANSPORTES E OBRAS,PONTE SOBRE O RIO SONO E SEUS ATERROS NA TO-245,Transporte,Estruturas Rodoviárias,02001.000815/2023-17,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001000815202317) PONTE SOBRE O RIO SONO E SEUS ATERROS NA TO-245,,0.002001049264641286,
null,null,14778,Ponte Rodoviária,02001000557202361,ASSOCIACAO COMUNIDADE INDIGENA ATURUA,Construção de Ponte sobre o rio Teles Pires,Transporte,Estruturas Rodoviárias,02001.000557/2023-61,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001000557202361) Construção de Ponte sobre o rio Teles Pires,,0.0007413223524442875,
null,null,14779,Ponte Rodoviária,02001018838202370,DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES,BR-425/RO Ponte Internacional sobre o rio Mamoré,Transporte,Estruturas Rodoviárias,02001.018838/2023-70,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001018838202370) BR-425/RO Ponte Internacional sobre o rio Mamoré,,0.09294488838092524,
null,null,14780,Ponte Rodoviária,02001016207202405,PREFEITURA MUNICIPAL DE PIRAPETINGA,IMPLANTAÇÃO DE CONTORNO RODOVIÁRIO,Transporte,Estruturas Rodoviárias,02001.016207/2024-05,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001016207202405) IMPLANTAÇÃO DE CONTORNO RODOVIÁRIO,,0.00012033648568292505,
null,null,14781,Ponte Rodoviária,02001016207202405,PREFEITURA MUNICIPAL DE PIRAPETINGA,IMPLANTAÇÃO DE CONTORNO RODOVIÁRIO,Transporte,Estruturas Rodoviárias,02001.016207/2024-05,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001016207202405) IMPLANTAÇÃO DE CONTORNO RODOVIÁRIO,,0.00029369491812247166,
null,null,14782,Ponte Rodoviária,02001036009202379,DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES,BR-349/AL/SE - Ponte sobre o Rio São Francisco e Acesso,Transporte,Estruturas Rodoviárias,02001.036009/2023-79,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001036009202379) BR-349/AL/SE - Ponte sobre o Rio São Francisco e Acesso,1-(Licença de Instalação-015082025-28/02/2025-28/02/2029) 2-(Licença Prévia-007022025-10/01/2025-10/01/2030),0.01031407402822039,
null,null,14783,Ponte Rodoviária,02001038733202337,AGÊNCIA TOCANTINENSE DE TRANSPORTES E OBRAS,Execução Ponte sobre o rio do Sono, com 220 m de extensão, localizada na rodovia TO-245,Transporte,Estruturas Rodoviárias,02001.038733/2023-37,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001038733202337) Execução Ponte sobre o rio do Sono, com 220 m de extensão, localizada na rodovia TO-245,,0.002001049264641286,
null,null,14784,Ponte Rodoviária,02001009588202468,DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES,BR-163/RS/SC - Implantação de Ponte, variante, contorno e adequação de capacidade,Transporte,Estruturas Rodoviárias,02001.009588/2024-68,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001009588202468) BR-163/RS/SC - Implantação de Ponte, variante, contorno e adequação de capacidade,,0.01111382202603008,
null,null,14785,Ponte Rodoviária,02001016313202481,MUNICIPIO DE ITAREMA,Ponte sobre o Rio Aracati Mirim,Transporte,Estruturas Rodoviárias,02001.016313/2024-81,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001016313202481) Ponte sobre o Rio Aracati Mirim,,0.0010339643198161743,
null,null,14786,Ponte Rodoviária,02001027888202429,CONSTRUTORA SINARCO LTDA,contrato 26 00008/2024 DNIT-RR. "execução das OAEs na Rodovia BR-210/RR",Transporte,Estruturas Rodoviárias,02001.027888/2024-29,https://servicos.ibama.gov.br/licenciamento/consulta_empreendimentos.php,(02001027888202429) contrato 26 00008/2024 DNIT-RR. "execução das OAEs na Rodovia BR-210/RR",,0.0008968627274394622,
