FID,id,terrai_nome,etnia_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,reestudo_ti,superficie_ti,terrai_codigo,gid,the_geom,undadm_codigo,undadm_nome,undadm_sigla
tis_pontos.fid-8091ffc_197eb0e14a4_393a,136,Kuaray Haxa,Guaraní,"Antonina, Guaraqueçaba",PR,0,Em Estudo,Tradicionalmente ocupada,,,73801,144,POINT (-48.61006389 -25.29450556),30202001852,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_393b,137,Ponta do Arado​,Guarani Mbya,Porto Alegre,RS,0,Em Estudo,Tradicionalmente ocupada,,,73802,142,POINT (-51.189999999981275 -30.23384721999999),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_393c,138,Kógunh Mág/Jagtyg Fykóg,Kaingang,Canela,RS,0,Em Estudo,Tradicionalmente ocupada,,,73803,147,POINT (-50.814558333333 -29.323144444444),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_393d,139,Zagaua (Konglui),Xokléng,"Riozinho, São Francisco de Paula",RS,0,Em Estudo,Tradicionalmente ocupada,,,73804,146,POINT (-50.380833333333 -29.392777777778),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_393e,140,Médio Rio Madeira,Múra,Manicoré,AM,0,Em Estudo,Tradicionalmente ocupada,,,73805,151,POINT (-61.89079722 -6.026875),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_393f,141,Curriã,Apurinã,Lábrea,AM,0,Em Estudo,Tradicionalmente ocupada,,,73808,153,POINT (-65.68969444444444 -7.773805555555556),30202001878,COORDENACAO REGIONAL MÉDIO PURUS,CR-MPR
tis_pontos.fid-8091ffc_197eb0e14a4_3940,142,Kapyra Kanakury,"Apurinã, Jamamadí",Pauini,AM,0,Em Estudo,Tradicionalmente ocupada,,,73809,154,POINT (-67.15138888888889 -7.818611111111111),30202001878,COORDENACAO REGIONAL MÉDIO PURUS,CR-MPR
tis_pontos.fid-8091ffc_197eb0e14a4_3941,143,Baixo Marmelos,"Mundurukú, Múra, Tenharim, Torá","Humaitá, Manicoré",AM,0,Em Estudo,Tradicionalmente ocupada,,,73810,155,POINT (-61.80104444444444 -6.362369444444444),30202001878,COORDENACAO REGIONAL MÉDIO PURUS,CR-MPR
tis_pontos.fid-8091ffc_197eb0e14a4_3942,144,Arapuá,"Makuxí, Wapixana",Alto Alegre,RR,0,Em Estudo,Tradicionalmente ocupada,,,73811,156,POINT (-61.24863888888889 2.935088888888889),30202001955,COORDENACAO REGIONAL DE RORAIMA,CR-RR
tis_pontos.fid-8091ffc_197eb0e14a4_3943,145,Aldeias Santa Maria e Nova Bacaba (Baixo Rio Jatapu) ,Hixkaryána,"Nhamundá, São Sebastião do Uatumã, Urucará",AM,0,Em Estudo,Tradicionalmente ocupada,,,73812,157,POINT (-58.512972222222224 -1.553388888888889),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_3944,146,Baixo Rio Negro e Rio Caurés,"Arapáso, Baniwa, Baré, Makuxí, Tikúna, Tukano",Barcelos,AM,0,Em Estudo,Tradicionalmente ocupada,,,73814,152,POINT (-62.50333333333333 -1.0465222222222221),30202001885,COORDENACAO REGIONAL DO RIO NEGRO,CR-RNEG
tis_pontos.fid-8091ffc_197eb0e14a4_3945,147,Gaviãozinho,"Kanamarí, Kulina Madijá",Itamarati,AM,0,Em Estudo,Tradicionalmente ocupada,,,73815,159,POINT (-68.253 -6.425),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_3946,148,Curara,Múra,Manicoré,AM,0,Em Estudo,Tradicionalmente ocupada,,,73816,160,POINT (-60.94226111111111 -5.755219444444444),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_3947,149,Mamori,"Apurinã, Dení, Katukina, Paumarí",Tapauá,AM,0,Em Estudo,Tradicionalmente ocupada,,,73818,161,POINT (-63.387511111111 -6.2272638888889),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_3948,150,Mamoriá Grande e Igarapé Grande,Apurinã,Lábrea,AM,0,Em Estudo,Tradicionalmente ocupada,,,73819,7266,POINT (-66.223055555556 -7.5365),30202001878,COORDENACAO REGIONAL MÉDIO PURUS,CR-MPR
tis_pontos.fid-8091ffc_197eb0e14a4_3949,151,Acapuri do Meio,Não especificada,Fonte Boa,AM,0,Em Estudo,Tradicionalmente ocupada,,,73820,7276,POINT (-66.808841666667 -2.6813638888889),30202001857,COORDENACAO REGIONAL DO ALTO SOLIMOES,CR-ASL
tis_pontos.fid-8091ffc_197eb0e14a4_394a,152,Guarasugwe Riozinho,Não especificada,Pimenteiras do Oeste,RO,0,Em Estudo,Tradicionalmente ocupada,,,73821,7277,POINT (-62.005305555556 -13.296738888889),30202002025,COORDENACAO REGIONAL DE CUIABA,CR-CBA
tis_pontos.fid-8091ffc_197eb0e14a4_394b,153,Rio Cuieiras,Não especificada,"Manaus, Novo Airão",AM,0,Em Estudo,Tradicionalmente ocupada,,,73822,7279,POINT (-60.438227777778 2.7495194444444),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_394c,154,Ilha do Panamim,Não especificada,"Alvarães, Maraã, Tefé",AM,0,Em Estudo,Tradicionalmente ocupada,,,73823,7280,POINT (-64.638089 -3.356242),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_394d,155,Tapayuna,Não especificada,"Nova Maringá, São José do Rio Claro",MT,0,Em Estudo,Tradicionalmente ocupada,,,73824,7278,POINT (-57.216961111111 -13.166047222222),30202002032,COORDENACAO REGIONAL NORTE DO MATO GROSSO,CR-NMT
tis_pontos.fid-8091ffc_197eb0e14a4_394e,156,Alto Rio Içá,Não especificada,Santo Antônio do Içá,AM,0,Em Estudo,Tradicionalmente ocupada,,,73825,7293,POINT (-69.412602777778 -2.9743888888889),,,
