FID,id,terrai_nome,etnia_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,reestudo_ti,superficie_ti,terrai_codigo,gid,the_geom,undadm_codigo,undadm_nome,undadm_sigla
tis_pontos.fid-8091ffc_197eb0e14a4_38f7,69,Passo Grande,Guaraní,Barra do Ribeiro,RS,0,Em Estudo,Tradicionalmente ocupada,,,70901,22,POINT (-51.41435116712127 -30.30139839299307),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_38f8,70,Anacé,Anacé,Caucaia,CE,0,Em Estudo,Tradicionalmente ocupada,,,71101,16,POINT (-38.76316523210062 -3.68651341985499),30202001976,COORDENACAO REGIONAL NORDESTE II,CR-NE-II
tis_pontos.fid-8091ffc_197eb0e14a4_38f9,71,Coroa Vermelha - Gleba C,Pataxó,Porto Seguro,BA,0,Em Estudo,Reserva Indígena,,,72201,80,POINT (-39.07913930616406 -16.345247824128545),30202001990,COORDENACAO REGIONAL DO SUL DA BAHIA,CR-SBA
tis_pontos.fid-8091ffc_197eb0e14a4_38fa,72,Kalanko,Kalankó,Água Branca,AL,0,Em Estudo,Tradicionalmente ocupada,,,73201,82,POINT (-37.967639143581025 -9.20503437494572),30202001969,COORDENACAO REGIONAL NORDESTE I,CR-NE-I
tis_pontos.fid-8091ffc_197eb0e14a4_38fb,73,Cambirela,Guaraní Mbya,Palhoça,SC,0,Em Estudo,Tradicionalmente ocupada,,,73401,109,POINT (-48.64293333 -27.72399167),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_38fc,74,Baixo Seruini,Apurinã,Pauini,AM,0,Em Estudo,Tradicionalmente ocupada,,,73701,29,POINT (-66.88381254037996 -7.828052301797108),30202001878,COORDENACAO REGIONAL MÉDIO PURUS,CR-MPR
tis_pontos.fid-8091ffc_197eb0e14a4_38fd,75,Lami,Guaraní,Porto Alegre,RS,0,Em Estudo,Tradicionalmente ocupada,,,73703,90,POINT (-51.099994224209745 -30.218792752623756),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_38fe,76,Estiva,Guaraní,Viamão,RS,0,Em Estudo,Tradicionalmente ocupada,,,73704,72,POINT (-50.764833333333 -30.101711111111),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_38ff,77,Lomba do Pinheiro,Guaraní,Porto Alegre,RS,0,Em Estudo,Tradicionalmente ocupada,,,73705,133,POINT (-51.090938888889 -30.142244444444),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_3900,78,Rio Capivari - Porãi,Guaraní,Capivari do Sul,RS,0,Em Estudo,Tradicionalmente ocupada,,,73706,110,POINT (-50.56661236501316 -30.147135744192134),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_3901,79,Cinta Vermelha Jundiba,"Pankararu, Pataxó",Araçuaí,MG,0,Em Estudo,Reserva Indígena,,,73707,12,POINT (-42.037758525442875 -16.743562313859094),30202002067,COORDENACAO REGIONAL DE MINAS GERAIS E ESPIRITO SANTOS,CR-MGES
tis_pontos.fid-8091ffc_197eb0e14a4_3902,80,Monte Caseros - RS,Kaingang,"Ibiraiaras, Muliterno",RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73710,26,POINT (-51.65792749355684 -28.28792260036104),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_3903,81,Kaxarari - AM RO,Kaxarari,"Lábrea, Porto Velho","AM, RO",0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73712,131,POINT (-66.21723582414218 -9.114836085531614),30202001845,COORDENACAO REGIONAL ALTO PURUS,CR-ALPR
tis_pontos.fid-8091ffc_197eb0e14a4_3904,82,Ygua Porã (Amâncio),Guaraní,Biguaçu,SC,0,Em Estudo,Tradicionalmente ocupada,,,73713,15,POINT (-48.7709305556 -27.3587583333),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_3905,83,Rio Cautário,"Djeoromtxi-Jabuti, Kanoé, Kujubim","Costa Marques, Guajará-Mirim",RO,0,Em Estudo,Tradicionalmente ocupada,,,73715,112,POINT (-64.46859283772152 -12.138867699955679),30202001941,COORDENACAO REGIONAL DE GUAJARA MIRIM,CR-GJM
tis_pontos.fid-8091ffc_197eb0e14a4_3906,84,Areal,Tembé,Santa Maria do Pará,PA,0,Em Estudo,Tradicionalmente ocupada,,,73716,130,POINT (-47.61780024999999 -1.38632933231128),30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR- BTC
tis_pontos.fid-8091ffc_197eb0e14a4_3907,85,Nonoai/Rio da Varzea-RS,Kaingang,"Gramado dos Loureiros, Liberato Salzano, Nonoai, Planalto, Trindade do Sul",RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73721,33,POINT (-53.15527581140231 -27.481731118123683),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_3908,86,Carretão,Tapuia,"Nova América, Rubiataba",GO,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73723,77,POINT (-50.025 -15.0625),30202001962,COORDENACAO REGIONAL ARAGUAIA TOCANTINS,CR- ARGTO
tis_pontos.fid-8091ffc_197eb0e14a4_3909,87,Waimiri-Atroari,Waimiri Atroari,"Novo Airão, Presidente Figueiredo, Rorainópolis","AM, RR",0,Em Estudo,Tradicionalmente ocupada,,,73724,81,POINT (-60.00725151749244 -0.701400231770744),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_390a,88,Auati-Paraná (Santa União),"Kokama, Miránha, Tikúna",Fonte Boa,AM,0,Em Estudo,Tradicionalmente ocupada,,,73725,105,POINT (-66.6479861111 -2.32222777778),30202001857,COORDENACAO REGIONAL DO ALTO SOLIMOES,CR-ASL
tis_pontos.fid-8091ffc_197eb0e14a4_390b,89,Sagi/Trabanda,Potiguara,Baía Formosa,RN,0,Em Estudo,Tradicionalmente ocupada,,,73726,43,POINT (-35.0279995253261 -6.452198016268609),30202001976,COORDENACAO REGIONAL NORDESTE II,CR-NE-II
tis_pontos.fid-8091ffc_197eb0e14a4_390c,90,Vitoi Kuê,Guaraní,"Japorã, Mundo Novo",MS,0,Em Estudo,Tradicionalmente ocupada,,,73728,34,POINT (-54.3569 -23.9536),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_390d,91,Dourados-Amambaipeguá II,Guaraní,"Amambai, Caarapó, Dourados, Juti, Laguna Carapã, Naviraí",MS,0,Em Estudo,Tradicionalmente ocupada,,,73729,71,POINT (-54.2640666667 -23.0703388889),30202002011,COORDENACAO REGIONAL DE DOURADOS,CR-DOU
tis_pontos.fid-8091ffc_197eb0e14a4_390e,92,Laguna Piru (Nhandeva Peguá),Guaraní,Eldorado,MS,0,Em Estudo,Tradicionalmente ocupada,,,73730,61,POINT (-54.2588 -23.61),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_390f,93,Laranjeira Nhanderu (Brilhantepeguá),Guarani Kaiowá,Rio Brilhante,MS,0,Em Estudo,Tradicionalmente ocupada,,,73731,53,POINT (-54.5555 -21.8711),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_3910,94,Potrerito (Nhandeva Peguá),Guaraní,"Paranhos, Sete Quedas, Tacuru",MS,0,Em Estudo,Tradicionalmente ocupada,,,73732,5,POINT (-55.3177 -23.8872),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_3911,95,Garcete Kuê (Nhandeva Peguá),Guaraní,Sete Quedas,MS,0,Em Estudo,Tradicionalmente ocupada,,,73733,120,POINT (-54.9016 -23.8722),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_3912,96,Dourados-Amambaipeguá III,Guaraní,"Caarapó, Dourados",MS,0,Em Estudo,Tradicionalmente ocupada,,,73734,32,POINT (-54.63894722 -23.41747778),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
