FID,cod_aldeia,nome_aldeia,cod_ti,cod_municipio,data_cadastro,flag_ativo,nome_cr,the_geom,nommunic,nomuf,undadm_codigo,coord_lat,coord_long
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab1,2725,PORTO BOM SOCORRO,12101,3552700,27/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-69.492225 -4.02646666667),Tabatinga,São Paulo,30202001857,-4.02646667,-69.492225
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab2,2709,PORTO CALDAS,6201,1300060,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-67.9318944444 -3.31790555556),Amaturá,Amazonas,30202001857,-3.31790556,-67.93189444
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab3,2780,PORTO CORDEIRINHO,46801,1300607,27/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-69.9988361111 -4.38308611111),Benjamin Constant,Amazonas,30202001857,-4.38308611,-69.99883611
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab4,3160,PORTO DA VILA,59201,2909901,10/09/2018,A,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,POINT (-39.3960166667 -8.53778333333),Curaçá,Bahia,30202001983,-8.53778333,-39.39601667
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab5,2770,PORTO ESPIRITUAL,46901,1300607,27/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-69.8649833333 -4.40470833333),Benjamin Constant,Amazonas,30202001857,-4.40470833,-69.86498333
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab6,2708,PORTO GAMA,6201,1300060,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-67.9283777778 -3.31333611111),Amaturá,Amazonas,30202001857,-3.31333611,-67.92837778
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab7,2666,PORTO LIMOEIRO,57101,1303700,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-68.9367222222 -2.99734722222),Santo Antônio do Içá,Amazonas,30202001857,-2.99734722,-68.93672222
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab8,3099,PORTO LINDO,36701,5004809,05/09/2018,A,COORDENACAO REGIONAL DE PONTA PORA,POINT (-54.5874222222 -23.7863611111),Japorã,Mato Grosso do Sul,30202002018,-23.78636111,-54.58742222
aldeias_pontos.fid-8091ffc_197eb49b98a_3ab9,2651,PORTO LUTADOR,49301,1303908,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-68.6857916667 -3.40243333333),São Paulo de Olivença,Amazonas,30202001857,-3.40243333,-68.68579167
aldeias_pontos.fid-8091ffc_197eb49b98a_3aba,1791,PORTO NASCIMENTO,53601,1304237,10/05/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-67.6939833333 -2.80296111111),Tonantins,Amazonas,30202001857,-2.80296111,-67.69398333
aldeias_pontos.fid-8091ffc_197eb49b98a_3abb,2677,PORTO NOVO,6201,1303700,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-68.14225 -3.01346666667),Santo Antônio do Içá,Amazonas,30202001857,-3.01346667,-68.14225
aldeias_pontos.fid-8091ffc_197eb49b98a_3abc,3865,PORTO PRAIA,5901,1304203,01/04/2019,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-64.547366666667 -3.4105583333333),Tefé,Amazonas,30202001857,-3.41055833,-64.54736667
aldeias_pontos.fid-8091ffc_197eb49b98a_3abd,1753,PORTO PRAIA,36801,1304260,09/05/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-65.1548194444 -2.89607777778),Uarini,Amazonas,30202001857,-2.89607778,-65.15481944
aldeias_pontos.fid-8091ffc_197eb49b98a_3abe,3837,PORTO PRAIA,36801,1304260,01/04/2019,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-64.9788805556 -3.0802),Uarini,Amazonas,30202001857,-3.0802,-64.97888056
aldeias_pontos.fid-8091ffc_197eb49b98a_3abf,2652,PORTO REDENÇÃO,49301,1303908,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-68.6759388889 -3.39891944444),São Paulo de Olivença,Amazonas,30202001857,-3.39891944,-68.67593889
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac0,1721,PORTO VELHO,23701,1301407,04/05/2018,A,COORDENACAO REGIONAL DO VALE DO JAVARI,POINT (-70.3479083333 -6.91101666667),Eirunepé,Amazonas,30202001892,-6.91101667,-70.34790833
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac1,2806,PORTO VELHO,12101,1303700,27/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-69.3441972222 -3.41008888889),Santo Antônio do Içá,Amazonas,30202001857,-3.41008889,-69.34419722
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac2,2591,PORÇÃO,35701,4309704,24/07/2018,A,COORDENACAO REGIONAL DO MADEIRA,POINT (-61.91845 -6.76115555556),Humaitá,Rio Grande do Sul,30202001864,-6.76115556,-61.91845
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac3,1359,POSTO DE VIGILANCIA,29801,1503754,11/04/2018,A,COORDENACAO REGIONAL DE TAPAJOS,POINT (-57.3340277778 -7.15086111111),Jacareacanga,Pará,30202001927,-7.15086111,-57.33402778
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac4,3113,POTRERO GUASSU,37101,5006358,06/09/2018,A,COORDENACAO REGIONAL DE PONTA PORA,POINT (-55.400611111111 -23.930722222222),Paranhos,Mato Grosso do Sul,30202002018,-23.93072222,-55.40061111
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac5,3117,POÇO,6901,2911402,06/09/2018,A,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,POINT (-38.4883444444 -9.35246944444),Glória,Bahia,30202001983,-9.35246944,-38.48834444
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac6,3155,POÇO DE PEDRA,59201,2900207,10/09/2018,A,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,POINT (-39.3216722222 -8.610775),Abaré,Bahia,30202001983,-8.610775,-39.32167222
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac7,315,PRAIA,48701,1300201,,A,COORDENACAO REGIONAL DO VALE DO JAVARI,POINT (-72.1549333333 -6.81191666667),Atalaia do Norte,Amazonas,30202001892,-6.81191667,-72.15493333
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac8,2984,PRAIA BONITA,701,4204202,03/09/2018,A,COORDENACAO REGIONAL INTERIOR DO SUL,POINT (-52.5655416667 -27.2283361111),Chapecó,Santa Catarina,30202002088,-27.22833611,-52.56554167
aldeias_pontos.fid-8091ffc_197eb49b98a_3ac9,3610,PRAIA DO INDIO,37301,1503606,29/10/2018,A,COORDENACAO REGIONAL DE TAPAJOS,POINT (-56.0253888889 -4.28408611111),Itaituba,Pará,30202001927,-4.28408611,-56.02538889
aldeias_pontos.fid-8091ffc_197eb49b98a_3aca,2157,PRAINHA,37901,1400407,07/06/2018,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-59.8826805556 3.64586111111),Normandia,Roraima,30202001955,3.64586111,-59.88268056
aldeias_pontos.fid-8091ffc_197eb49b98a_3acb,1384,PRAINHA,29801,1503754,11/04/2018,A,COORDENACAO REGIONAL DE TAPAJOS,POINT (-58.0905527778 -7.22313055556),Jacareacanga,Pará,30202001927,-7.22313056,-58.09055278
aldeias_pontos.fid-8091ffc_197eb49b98a_3acc,3006,PRAKIÔ,21401,2708808,03/09/2018,A,COORDENACAO REGIONAL NORDESTE I,POINT (-36.6208388889 -10.0063555556),São Sebastião,Alagoas,30202001969,-10.00635556,-36.62083889
aldeias_pontos.fid-8091ffc_197eb49b98a_3acd,1367,PRATATI,29801,1503754,11/04/2018,A,COORDENACAO REGIONAL DE TAPAJOS,POINT (-57.627975 -7.62306944444),Jacareacanga,Pará,30202001927,-7.62306944,-57.627975
aldeias_pontos.fid-8091ffc_197eb49b98a_3ace,2701,PRESIDENTE VARGAS,6201,1303700,26/07/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-67.9633888889 -3.10849722222),Santo Antônio do Içá,Amazonas,30202001857,-3.10849722,-67.96338889
aldeias_pontos.fid-8091ffc_197eb49b98a_3acf,1512,PRESIDIO,3601,2100600,17/04/2018,A,COORDENACAO REGIONAL MARANHÃO,POINT (-46.3491666667 -5.3013),Amarante do Maranhão,Maranhão,30202001997,-5.3013,-46.34916667
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad0,1389,PRIMAVERA,29801,1503754,11/04/2018,A,COORDENACAO REGIONAL DE TAPAJOS,POINT (-58.1459916667 -7.33458611111),Jacareacanga,Pará,30202001927,-7.33458611,-58.14599167
